Date,Value
1-Feb-39,2.4
1-Mar-39,5.9
1-Apr-39,9.3
1-May-39,3
1-Jun-39,0
1-Jul-39,0.1
1-Aug-39,0.1
1-Sep-39,0.3
1-Oct-39,2.7
1-Nov-39,20
1-Dec-39,18.9
1-Jan-40,12.6
1-Feb-40,2.3
1-Mar-40,10.3
1-Apr-40,6.2
1-May-40,5.7
1-Jun-40,0
1-Jul-40,0.1
1-Aug-40,0.1
1-Sep-40,0.3
1-Oct-40,3
1-Nov-40,19.8
1-Dec-40,14.7
1-Jan-41,10.5
1-Feb-41,2.1
1-Mar-41,5.9
1-Apr-41,6.2
1-May-41,5.3
1-Jun-41,0
1-Jul-41,0.1
1-Aug-41,0.1
1-Sep-41,0.3
1-Oct-41,5.4
1-Nov-41,25
1-Dec-41,10.5
1-Jan-42,9.1
1-Feb-42,9.4
1-Mar-42,4
1-Apr-42,6.8
1-May-42,3
1-Jun-42,0
1-Jul-42,0.3
1-Aug-42,0.1
1-Sep-42,0.3
1-Oct-42,2.6
1-Nov-42,17.5
1-Dec-42,11.4
1-Jan-43,9.4
1-Feb-43,3
1-Mar-43,4
1-Apr-43,6.2
1-May-43,3
1-Jun-43,0
1-Jul-43,0.3
1-Aug-43,0.1
1-Sep-43,0.2
1-Oct-43,5.4
1-Nov-43,21.8
1-Dec-43,22.1
1-Jan-44,15.3
1-Feb-44,2.3
1-Mar-44,4
1-Apr-44,7.4
1-May-44,4.9
1-Jun-44,0
1-Jul-44,0.1
1-Aug-44,0.1
1-Sep-44,0.2
1-Oct-44,2.4
1-Nov-44,27.6
1-Dec-44,11.4
1-Jan-45,15.2
1-Feb-45,3.9
1-Mar-45,8.9
1-Apr-45,8.3
1-May-45,4.7
1-Jun-45,0
1-Jul-45,0.1
1-Aug-45,0.4
1-Sep-45,0.2
1-Oct-45,3.8
1-Nov-45,25
1-Dec-45,11.2
1-Jan-46,15
1-Feb-46,4.4
1-Mar-46,22.1
1-Apr-46,16.7
1-May-46,3
1-Jun-46,0
1-Jul-46,0.1
1-Aug-46,0.2
1-Sep-46,0.2
1-Oct-46,3.1
1-Nov-46,31.4
1-Dec-46,14.8
1-Jan-47,14.8
1-Feb-47,2.3
1-Mar-47,4
1-Apr-47,6.2
1-May-47,3
1-Jun-47,0
1-Jul-47,0.1
1-Aug-47,0.1
1-Sep-47,1
1-Oct-47,2.5
1-Nov-47,35.6
1-Dec-47,15.6
1-Jan-48,32.4
1-Feb-48,2.2
1-Mar-48,4
1-Apr-48,17
1-May-48,3
1-Jun-48,0
1-Jul-48,0.1
1-Aug-48,0.3
1-Sep-48,0.2
1-Oct-48,3.3
1-Nov-48,14.2
1-Dec-48,11.2
1-Jan-49,11
1-Feb-49,3.8
1-Mar-49,4
1-Apr-49,6.2
1-May-49,3.7
1-Jun-49,0
1-Jul-49,0.1
1-Aug-49,0.2
1-Sep-49,0.2
1-Oct-49,2.4
1-Nov-49,24.6
1-Dec-49,21.2
1-Jan-50,10
1-Feb-50,2.2
1-Mar-50,4
1-Apr-50,18.1
1-May-50,3
1-Jun-50,0
1-Jul-50,0.2
1-Aug-50,0.2
1-Sep-50,0.2
1-Oct-50,2.4
1-Nov-50,13.9
1-Dec-50,14
1-Jan-51,10.6
1-Feb-51,2.3
1-Mar-51,4
1-Apr-51,6.2
1-May-51,3.7
1-Jun-51,0
1-Jul-51,0.1
1-Aug-51,0.1
1-Sep-51,0.2
1-Oct-51,3.6
1-Nov-51,27.7
1-Dec-51,11.5
1-Jan-52,10.8
1-Feb-52,2.1
1-Mar-52,4
1-Apr-52,0
1-May-52,4.5
1-Jun-52,0
1-Jul-52,0.1
1-Aug-52,0.4
1-Sep-52,0.2
1-Oct-52,2.7
1-Nov-52,17.2
1-Dec-52,19.3
1-Jan-53,9.5
1-Feb-53,2.1
1-Mar-53,0
1-Apr-53,2.1
1-May-53,5.1
1-Jun-53,0
1-Jul-53,0.1
1-Aug-53,0.3
1-Sep-53,0.2
1-Oct-53,4
1-Nov-53,18.5
1-Dec-53,9.3
1-Jan-54,9.1
1-Feb-54,2.1
1-Mar-54,1.1
1-Apr-54,0
1-May-54,3
1-Jun-54,0
1-Jul-54,0.1
1-Aug-54,0.3
1-Sep-54,0.3
1-Oct-54,2.9
1-Nov-54,15.1
1-Dec-54,11.5
1-Jan-55,10.2
1-Feb-55,2.3
1-Mar-55,7.3
1-Apr-55,0
1-May-55,3
1-Jun-55,0
1-Jul-55,0.1
1-Aug-55,0.1
1-Sep-55,0.2
1-Oct-55,2.6
1-Nov-55,26.3
1-Dec-55,13.3
1-Jan-56,9.9
1-Feb-56,2.1
1-Mar-56,0
1-Apr-56,7.1
1-May-56,3
1-Jun-56,0
1-Jul-56,0.1
1-Aug-56,0.2
1-Sep-56,0.3
1-Oct-56,2.4
1-Nov-56,17.3
1-Dec-56,20
1-Jan-57,10.6
1-Feb-57,5.3
1-Mar-57,0
1-Apr-57,7.5
1-May-57,6.4
1-Jun-57,0
1-Jul-57,0.1
1-Aug-57,0.2
1-Sep-57,0.2
1-Oct-57,2.6
1-Nov-57,25.2
1-Dec-57,13.4
1-Jan-58,10.7
1-Feb-58,2.1
1-Mar-58,0
1-Apr-58,0
1-May-58,3
1-Jun-58,0
1-Jul-58,0.1
1-Aug-58,0.1
1-Sep-58,0.2
1-Oct-58,3.4
1-Nov-58,23.8
1-Dec-58,15.3
1-Jan-59,10.5
1-Feb-59,2.3
1-Mar-59,1
1-Apr-59,0
1-May-59,3
1-Jun-59,0
1-Jul-59,0.1
1-Aug-59,0.1
1-Sep-59,0.2
1-Oct-59,2.5
1-Nov-59,18.4
1-Dec-59,30.3
1-Jan-60,10
1-Feb-60,2.3
1-Mar-60,2.8
1-Apr-60,0
1-May-60,4.1
1-Jun-60,0
1-Jul-60,0.1
1-Aug-60,0.1
1-Sep-60,0.2
1-Oct-60,2.7
1-Nov-60,20.6
1-Dec-60,10.1
1-Jan-61,14.8
1-Feb-61,2.5
1-Mar-61,0
1-Apr-61,4.3
1-May-61,4.1
1-Jun-61,0
1-Jul-61,0.2
1-Aug-61,0.3
1-Sep-61,0.2
1-Oct-61,2.6
1-Nov-61,27.1
1-Dec-61,20.6
1-Jan-62,11.4
1-Feb-62,2.1
1-Mar-62,0
1-Apr-62,0
1-May-62,3
1-Jun-62,0
1-Jul-62,0.1
1-Aug-62,0.2
1-Sep-62,0.2
1-Oct-62,2.4
1-Nov-62,38.6
1-Dec-62,23.1
1-Jan-63,17.5
1-Feb-63,4.4
1-Mar-63,0
1-Apr-63,6.7
1-May-63,4
1-Jun-63,0
1-Jul-63,0.1
1-Aug-63,0.1
1-Sep-63,0.2
1-Oct-63,2.4
1-Nov-63,24.6
1-Dec-63,13.6
1-Jan-64,9
1-Feb-64,2.1
1-Mar-64,0.6
1-Apr-64,17.3
1-May-64,3
1-Jun-64,0
1-Jul-64,0.1
1-Aug-64,0.4
1-Sep-64,0.2
1-Oct-64,2.4
1-Nov-64,14.4
1-Dec-64,27
1-Jan-65,9.1
1-Feb-65,2.1
1-Mar-65,14.4
1-Apr-65,1.3
1-May-65,3
1-Jun-65,0
1-Jul-65,0.1
1-Aug-65,0.3
1-Sep-65,0.2
1-Oct-65,4.4
1-Nov-65,30.1
1-Dec-65,11.3
1-Jan-66,9.4
1-Feb-66,3.4
1-Mar-66,2.4
1-Apr-66,0.6
1-May-66,3
1-Jun-66,0
1-Jul-66,0.1
1-Aug-66,0.2
1-Sep-66,0.2
1-Oct-66,6.1
1-Nov-66,30.6
1-Dec-66,15.5
1-Jan-67,9.8
1-Feb-67,2.1
1-Mar-67,0.5
1-Apr-67,0
1-May-67,3
1-Jun-67,0
1-Jul-67,0.1
1-Aug-67,0.3
1-Sep-67,0.2
1-Oct-67,4.6
1-Nov-67,18.1
1-Dec-67,12.2
1-Jan-68,9.5
1-Feb-68,5.9
1-Mar-68,0
1-Apr-68,37.7
1-May-68,7.2
1-Jun-68,0
1-Jul-68,0.2
1-Aug-68,0.2
1-Sep-68,0.2
1-Oct-68,2.5
1-Nov-68,26.1
1-Dec-68,9.9
1-Jan-69,10.9
1-Feb-69,4.8
1-Mar-69,0
1-Apr-69,0.8
1-May-69,3
1-Jun-69,0
1-Jul-69,0.1
1-Aug-69,0.2
